nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-20 10:55","광식이네아구찜 용산구 후암동","서울로 여름축제 추진 검토 간담회","사업운영팀장외 11",카드,268550
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 17:46","전주밥차 중구 퇴계로","서울로 하절기 현업업무 추진 직원격려 간담회","운영단장외 5",카드,113400
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 13:03","고흥식당 중구 만리재로","서울로 현장업무 추진 근로자격려 간담회","총괄기획팀장외 15",카드,498000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 11:47","신의주찹쌀순대남대문 중구 퇴계로4길","서울로 현안업무 추진 직원격려 간담회","운영반장외 14",카드,495000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 14:18","7017서울화반 중구 퇴계로","서울로 여름축제 추진 직원격려 간담회","운영단장외 4",카드,169000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 12:47","전원 중구 남창동","서울로운영단 사무실 환경정비 관련 제잡비","운영단직원 25",카드,450000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-19 15:32","（주）오피스디포 강남구 언주로","서울로운영단 직원 업무능률 향상을 위한 제잡비","운영단직원 25",카드,1130700
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-18 12:02","삼백집 서울역점 중구 퇴계로","서울로 초록대행진 추진 직원 격려 간담회","운영반장외 9",카드,143000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-18 20:08","문어세상 중구 세종대로","서울로 현안업무협의 관련 검토 간담회","운영반장외 2",카드,116000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-17 21:12","이층과옥상 중구 다동길","서울로 현안업무 추진 직원격려 간담회","운영단장외 18",카드,466500
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-17 12:32","계절밥상 서울역사점 중구 한강대로","서울로 시설 관리 직원 격려 간담회","운영단장외 6",카드,104300
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-17 20:13","한뫼촌 종로구 북촌로","서울로 스토리 개발관련 검토 간담회","운영반장외 5",카드,112000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-17 12:23","한육감 중구 퇴계로","서울로 예산편성 관련 검토 간담회","운영반장외 3",카드,37000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-16 12:22","창고４３시청점 중구 서소문로","서울로 현안업무협의 관련 검토 간담회","총괄기획팀장외 3",카드,36000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-13 12:16","나들목 중구 퇴계로4길","서울로 초록대행진 준비관련 검토 간담회","운영반장외 3",카드,55000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-12 12:19","나주곰탕 중구 중림로","서울로 안전시설 관리 운영 검토 간담회","운영단장외 8",카드,120000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-12 12:09","항아리 중구 소월로","서울로 프로그램 활성화 관련 검토 간담회","운영반장외 2",카드,31000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-11 12:56","주식회사어반가든 중구 정동길","서울로 여름밤 초록대행진 준비관련 검토 간담회","운영단장외 5",카드,153000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-11 20:41","서울리스타 중구 퇴계로","서울로 현안업무 추진 직원격려 간담회","운영반장외 19",카드,332000
15765719,"2018년 7월 서울시본청_푸른도시국_서울로운영단 업무추진비 내역",http://opengov.seoul.go.kr/public/15765719,서울시본청,푸른도시국,,,,2018,7,,,,"푸른도시국 서울로운영단","2018-07-11 12:08","해미복아구 중구 퇴계로","서울로 현안업무협의 관련 검토 간담회","운영반장외 4",카드,82000
